ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000164010	ERMAP	1	43282795	43310660	1	protein_coding	114625	ERMAP	5.8055284133168e-05	0.252683207	0	0	24	1.72081e-05	9.66451e-08	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adrenal_Gland	-	Yes	Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.334e-12	rs11420276;rs673253;rs492929;rs34898652;rs2842198;rs2275180:rs2842198:rs11420276:rs150623615:rs11420276;rs3791101;rs492929:rs11420276;rs3791101:rs3952787:rs150623615;rs3952787:rs2275180	1
ENSG00000164011	ZNF691	1	43312280	43318148	1	protein_coding	51058	ZNF691	0.417758649657401	-0.577744535	0	0	5	9.94045e-06	0.00040309	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Heart_Left_Ventricle	+	Yes	Adult_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.69e-11	rs150623615;rs3952787;rs2275180:rs2842198;rs2275180:rs2842198:rs11420276:rs150623615:rs11420276;rs3791101;rs492929:rs11420276;rs3791101:rs3952787:rs150623615	1
ENSG00000117394	SLC2A1	1	43391052	43424530	-1	protein_coding	6513	SLC2A1	0.939808130156394	-0.53204533	0	0	2	0.000110198	0.0116487	GTEx/v8/Esophagus_Gastroesophageal_Junction	+	Yes	Adult_Cortex:IMR90	1.083e-12	rs11420276;rs3791101;rs2275180:rs2842198;rs2275180:rs11420276;rs492929:rs11420276:rs150623615:rs2842198	1
ENSG00000186973	FAM183A	1	43610824	43622067	1	protein_coding	440585	FAM183A	0.0293267361122758	-0.403679933	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	3.262e-08	rs2275180:rs2842198	1
ENSG00000117395	EBNA1BP2	1	43629846	43736607	-1	protein_coding	10969	EBNA1BP2	2.3767005478956e-06	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	3.262e-08	rs2275180:rs2842198;rs2275180:rs2842198:rs3952787	1
ENSG00000243710	WDR65	1	43637820	43720029	1	protein_coding	149465	WDR65	8.58277032784158e-09	0.128913991	0	0	66	1.78206e-06	2.33278e-118	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Nerve_Tibial	+	Yes	Adult_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.072e-12	rs549845;rs150623615;rs3952787;rs3791101;rs11420276;rs673253;rs34898652;rs492929;rs2842198;rs2275180:rs2275180:rs2842198	1
ENSG00000179178	TMEM125	1	43735665	43739673	1	protein_coding	128218	TMEM125	0.000428556113626271	0.191656511	0	0	177	1.86626e-06	8.6038e-09	PsychENCODE_eQTLs:CMC_SVA_cis:GTEx/v8/Thyroid	+	Yes	Adult_Cortex:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.072e-12	rs2275180;rs2842198;rs11420276;rs673253;rs492929;rs34898652;rs3791101;rs2275180:rs2842198;rs2275180:rs2842198:rs3952787	1
ENSG00000253313	C1orf210	1	43747554	43751288	-1	protein_coding	149466	C1orf210	0.00121963583096512	0.676593983	2	16.67	111	2.56403e-07	0.000395172487450603	eQTLcatalogue/CEDAR_transverse_colon:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Testis	+	Yes	Promoter_anchored_loops:Adult_Cortex:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.083e-12	rs2275180;rs2842198;rs2275180:rs2275180:rs549845;rs150623615:rs11420276;rs673253;rs492929;rs34898652:rs549845:rs11420276;rs3791101;rs492929:rs11420276:rs150623615:rs3952787:rs2842198	1
ENSG00000066056	TIE1	1	43766664	43788779	1	protein_coding	7075	TIE1	8.71416663313257e-12	-0.019633805	28	16.67	304	6.32744e-37	0	eQTLcatalogue/TwinsUK_ge_fat:eQTLcatalogue/TwinsUK_ge_skin:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Prostate:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Stomach:GTEx/v8/Thyroid	+	Yes	Promoter_anchored_loops:Adult_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.072e-12	rs2275180;rs2842198;rs34898652;rs673253;rs11420276;rs492929;rs3791101;rs35947542;rs150623615;rs549845;rs2275180:rs2275180:rs11420276;rs492929:rs11420276:rs150623615:rs2842198	1
ENSG00000117400	MPL	1	43803478	43818443	1	protein_coding	4352	MPL	1.43928006099179e-06	-0.172843809	18	22.4	198	1.2235e-46	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Testis	+	Yes	IMR90:Mesenchymal_Stem_Cell	1.072e-12	rs2842198;rs2275180;rs34898652;rs673253;rs11420276;rs492929;rs2275180:rs2842198	1
ENSG00000117399	CDC20	1	43824626	43828874	1	protein_coding	991	CDC20	0.000181853834795088	-0.322700115	12	22.4	127	1.43718e-09	6.4396648691673e-07	eQTLcatalogue/HipSci_ge_iPSC:eQTLcatalogue/TwinsUK_ge_fat:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pituitary:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell	6.261e-09	rs2842198;rs2275180;rs35947542;rs2275180:rs2842198	1
ENSG00000066322	ELOVL1	1	43829068	43833696	-1	protein_coding	64834	ELOVL1	0.223414530247304	NA	16	22.4	270	1.5964e-23	0	EyeGEx:eQTLcatalogue/TwinsUK_ge_fat:PsychENCODE_eQTLs:DICE/T_CD4_naive_TREG:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell	1.072e-12	rs2842198;rs2275180;rs34898652;rs35947542;rs673253;rs11420276;rs492929;rs3791101;rs2275180:rs2842198;rs2275180:rs2842198:rs549845;rs150623615:rs11420276;rs34898652:rs549845:rs11420276;rs492929:rs11420276:rs150623615	1
ENSG00000159479	MED8	1	43849588	43855479	-1	protein_coding	112950	MED8	8.1582621367423e-06	0.403723391	18	18.26	399	1.7279e-151	0	eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_neutrophil_CD15:eQTLcatalogue/CEDAR_T-cell_CD4:eQTLcatalogue/CEDAR_transverse_colon:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_LPS24:eQTLcatalogue/Fairfax_2014_LPS2:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GEUVADIS_ge_LCL:eQTLcatalogue/HipSci_ge_iPSC:eQTLcatalogue/Kasela_2017_T-cell_CD4:eQTLcatalogue/Kasela_2017_T-cell_CD8:eQTLcatalogue/Naranbhai_2015_neutrophil_CD16:eQTLcatalogue/TwinsUK_ge_fat:eQTLcatalogue/TwinsUK_ge_skin:PsychENCODE_eQTLs:DICE/T_CD4_naive:DICE/T_CD4_naive_activated:DICE/T_CD8_naive:DICE/T_CD8_naive_activated:DICE/T_CD4_TH1:DICE/T_CD4_TH17:DICE/T_CD4_TH2:DICE/T_CD4_memory_TREG:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Testis:GTEx/v8/Thyroid	-	Yes	Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	6.452e-13	rs2842198;rs2275180;rs34898652;rs35947542;rs673253;rs11420276;rs492929;rs3791101;rs549845;rs150623615;rs2275180:rs2842198;rs2275180:rs2842198:rs549845;rs150623615:rs11420276;rs34898652:rs549845:rs150623615:rs11420276;rs34898652:rs11420276;rs492929:rs11420276:rs3952787:rs35947542:rs492929:rs673253	1
ENSG00000198198	SZT2	1	43855553	43918321	1	protein_coding	23334	SZT2	1.51746679777732e-07	0.623916217	58	18.87	241	1.68255e-19	0	eQTLcatalogue/BLUEPRINT_ge_neutrophil:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Testis	-	Yes	Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.083e-12	rs2842198;rs2275180;rs34898652;rs673253;rs11420276;rs492929;rs3791101;rs35947542;rs549845;rs150623615;rs2275180:rs2842198;rs2275180:rs2842198:rs549845;rs150623615:rs11420276;rs34898652:rs549845:rs150623615:rs11420276;rs34898652:rs11420276;rs492929:rs11420276:rs3952787:rs35947542:rs492929:rs673253	1
ENSG00000178922	HYI	1	43916824	43919660	-1	protein_coding	81888	HYI	3.15819250162145e-08	-0.187049626	16	18.87	392	9.62222e-28	0	EyeGEx:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/HipSci_ge_iPSC:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:BRAINEAC/FCTX:BRAINEAC/aveALL	+	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	6.452e-13	rs2842198;rs2275180;rs34898652;rs35947542;rs549845;rs150623615;rs11420276;rs673253;rs492929;rs3791101;rs2275180:rs2842198;rs2275180:rs2842198:rs35947542:rs11420276;rs34898652:rs11420276;rs34898652:rs150623615:rs549845;rs150623615:rs549845:rs492929:rs673253:rs3952787	1
ENSG00000142949	PTPRF	1	43990858	44089343	1	protein_coding	5792	PTPRF	0.999998378977356	-1.116923282	119	18.13	415	3.68089e-16	0	EyeGEx:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/TwinsUK_ge_LCL:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg	+	Yes	EP_links_oneway:Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Mesenchymal_Stem_Cell	6.452e-13	rs673253;rs34898652;rs35947542;rs11420276;rs492929;rs150623615;rs549845;rs2842198;rs2275180;rs3791101;rs3952787;rs150623615:rs11420276;rs34898652:rs549845:rs2842198;rs2275180:rs150623615:rs11420276;rs34898652:rs11420276;rs492929:rs11420276:rs3952787:rs2275180:rs11420276	1
ENSG00000066135	KDM4A	1	44115829	44171186	1	protein_coding	9682	KDM4A	0.999993865120135	-1.029432354	63	17.97	182	1.21221e-08	2.32896652110626e-05	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adrenal_Gland:GTEx/v8/Skin_Sun_Exposed_Lower_leg	-	Yes	Promoter_anchored_loops:IMR90:Mesenchymal_Stem_Cell	1.083e-12	rs150623615;rs549845;rs11420276;rs673253;rs34898652;rs3791101;rs492929;rs3952787;rs35947542;rs3791101:rs35947542:rs11420276;rs34898652:rs11420276;rs34898652:rs150623615:rs549845;rs150623615:rs549845	1
ENSG00000126091	ST3GAL3	1	44171495	44396831	1	protein_coding	6487	ST3GAL3	0.573989459299218	0.35827043	178	17.97	384	3.1481e-24	0	EyeGEx:eQTLcatalogue/Nedelec_2016_ge_macrophage_Salmonella:eQTLcatalogue/Quach_2016_ge_monocyte_Pam3CSK4:eQTLcatalogue/Quach_2016_ge_monocyte_R848:eQTLcatalogue/TwinsUK_ge_LCL:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:BRAINEAC/WHMT:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cortex:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Thyroid	-	Yes	Adult_Cortex:Fetal_Cortex:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell	6.452e-13	rs11420276;rs3791101;rs492929;rs150623615;rs3952787;rs2842198;rs34898652;rs673253;rs549845;rs2275180;rs2275180:rs2842198;rs2275180:rs2842198:rs150623615:rs11420276;rs34898652:rs549845;rs150623615:rs549845:rs11420276;rs34898652:rs3952787:rs11420276;rs34898652:rs11420276:rs11420276;rs492929:rs11420276;rs3791101:rs150623615;rs3952787:rs35947542	1
ENSG00000117407	ARTN	1	44398992	44402913	1	protein_coding	9048	ARTN	0.293100341552423	-0.349064033	7	8.056	248	4.08109e-35	1.29717e-28	EyeGEx:eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/GENCORD_ge_LCL:eQTLcatalogue/GEUVADIS_ge_LCL:eQTLcatalogue/Nedelec_2016_ge_macrophage_Listeria:eQTLcatalogue/Nedelec_2016_ge_macrophage_Salmonella:eQTLcatalogue/Quach_2016_ge_monocyte_LPS:eQTLcatalogue/Quach_2016_ge_monocyte_Pam3CSK4:eQTLcatalogue/Quach_2016_ge_monocyte_R848:PsychENCODE_eQTLs:DICE/Monocyte_non_classical:DICE/NK:DICE/T_CD4_TH2:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Testis	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	6.452e-13	rs3952787;rs150623615;rs11420276;rs3791101;rs549845;rs673253;rs34898652;rs492929;rs35947542;rs35947542:rs34898652:rs549845;rs150623615:rs11420276;rs34898652:rs11420276:rs150623615:rs11420276;rs492929:rs3791101:rs150623615;rs3952787:rs11420276;rs3791101:rs3952787:rs549845	1
ENSG00000117408	IPO13	1	44412611	44433694	1	protein_coding	9670	IPO13	0.972444338181171	-1.047462746	2	5.488	171	7.23601e-16	3.618e-12	EyeGEx:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/Nedelec_2016_ge_macrophage_Salmonella:eQTLGen_cis_eQTLs:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Aorta:Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	6.452e-13	rs3952787;rs150623615;rs549845;rs11420276;rs3791101;rs492929;rs3952787:rs11420276:rs150623615:rs11420276;rs492929:rs35947542:rs11420276;rs673253;rs34898652:rs11420276;rs34898652:rs549845;rs150623615:rs549845:rs2842198;rs2275180:rs2842198:rs11420276;rs3791101:rs150623615;rs3952787:rs2842198;rs34898652:rs34898652:rs673253;rs34898652	1
ENSG00000132768	DPH2	1	44435672	44439041	1	protein_coding	1802	DPH2	0.00684674768380938	0.103530113	1	0.513	83	4.5195e-21	0	eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLGen_cis_eQTLs:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Thyroid	+	Yes	Promoter_anchored_loops:Aorta:Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	6.452e-13	rs3952787;rs150623615;rs2842198:rs2842198;rs2275180:rs11420276:rs150623615:rs11420276;rs3791101;rs492929:rs35947542:rs11420276;rs673253;rs34898652:rs11420276;rs492929;rs34898652:rs549845;rs150623615:rs549845:rs11420276;rs3791101:rs3952787:rs150623615;rs3952787:rs2842198;rs34898652:rs34898652:rs673253;rs34898652	1
ENSG00000117410	ATP6V0B	1	44440159	44443967	1	protein_coding	533	ATP6V0B	0.927635231427402	-0.400284464	1	0.513	292	1.0284e-69	0	eQTLcatalogue/BLUEPRINT_ge_neutrophil:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Cells_Cultured_fibroblasts	+	Yes	Promoter_anchored_loops:Aorta:Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	6.452e-13	rs3952787;rs150623615;rs11420276;rs35947542;rs549845;rs673253;rs34898652;rs3791101;rs492929;rs2275180;rs2842198:rs2842198;rs2275180:rs11420276:rs150623615:rs11420276;rs492929:rs35947542:rs11420276;rs34898652:rs11420276;rs34898652:rs549845;rs150623615:rs549845:rs11420276;rs3791101:rs3952787:rs150623615;rs3952787:rs2842198;rs34898652:rs34898652:rs673253	1
ENSG00000117411	B4GALT2	1	44444615	44456840	1	protein_coding	8704	B4GALT2	0.295417380860886	-0.049213329	1	0.513	69	2.56029e-06	0.000188877	eQTLcatalogue/Nedelec_2016_ge_macrophage_Salmonella:PsychENCODE_eQTLs:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Muscle_Skeletal	-	Yes	Promoter_anchored_loops:IMR90:Mesenchymal_Stem_Cell	4.494e-12	rs3952787;rs150623615;rs549845;rs11420276:rs150623615:rs11420276;rs3791101;rs492929	1
ENSG00000159214	CCDC24	1	44457031	44462200	1	protein_coding	149473	CCDC24	2.01106420911485e-08	-0.436774622	0	0	335	3.27170000000001e-310	0	eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_neutrophil_CD15:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_LPS24:eQTLcatalogue/Fairfax_2014_LPS2:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Kasela_2017_T-cell_CD4:eQTLcatalogue/Kasela_2017_T-cell_CD8:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Naranbhai_2015_neutrophil_CD16:eQTLcatalogue/Nedelec_2016_ge_macrophage_Salmonella:eQTLcatalogue/TwinsUK_ge_blood:DICE/B_cell_naive:DICE/Monocyte_classical:DICE/NK:DICE/T_CD4_TH1:DICE/T_CD4_TH1_17:DICE/T_CD4_TH2:DICE/T_CD4_memory_TREG:DICE/T_CD4_naive_TREG:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Spleen:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell	1.072e-12	rs150623615;rs549845;rs3952787;rs11420276;rs3791101;rs492929;rs35947542;rs2275180;rs673253;rs34898652;rs11420276:rs3791101:rs3952787:rs11420276;rs492929:rs150623615	1
ENSG00000196517	SLC6A9	1	44457172	44497139	-1	protein_coding	6536	SLC6A9	0.0442530405880805	-0.177975638	2	1.522	126	5.9781e-159	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Cells_Cultured_fibroblasts	+	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.834e-12	rs3791101;rs3952787;rs11420276;rs150623615;rs492929;rs34898652;rs673253;rs11420276:rs150623615:rs11420276;rs492929:rs3952787	1
