GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000116151	1	2252692	2323146	349	50	383766	-0.34967	0.6367	MORN1
ENSG00000269753	1	2258581	2259042	1	1	386276	-0.70181	0.7586	AL589739.1
ENSG00000157916	1	2323267	2336883	44	15	384830	-0.002993	0.50119	RER1
ENSG00000157911	1	2336236	2345236	36	13	383717	-0.15253	0.56061	PEX10
ENSG00000149527	1	2357419	2436969	301	40	383433	1.2606	0.10372	PLCH2
ENSG00000157881	1	2439972	2458039	76	15	385907	-0.57971	0.71894	PANK4
ENSG00000197921	1	2460184	2461684	6	4	384463	-1.3199	0.90657	HES5
ENSG00000157873	1	2487078	2496821	29	8	385365	0.90744	0.18209	TNFRSF14
ENSG00000157870	1	2517930	2522908	19	10	385273	0.45799	0.32348	FAM213B
ENSG00000142606	1	2522078	2564481	191	17	385459	0.90593	0.18249	MMEL1
ENSG00000215912	1	2567415	2718286	154	21	385758	1.2982	0.097109	TTC34
ENSG00000169717	1	2938046	2939465	7	3	386105	1.2053	0.11404	ACTRT2
ENSG00000142611	1	2985732	3355185	1427	159	383869	2.4932	0.0063298	PRDM16
ENSG00000130762	1	3370990	3397677	112	16	385318	1.5628	0.059044	ARHGEF16
ENSG00000162591	1	3406484	3528059	453	72	383811	-0.017757	0.50708	MEGF6
ENSG00000158109	1	3541566	3546691	20	6	385000	-2.2842	0.98882	TPRG1L
ENSG00000116213	1	3547331	3569325	61	15	385831	-0.82575	0.79553	WRAP73
ENSG00000078900	1	3569084	3652765	275	44	382839	1.3016	0.096519	TP73
ENSG00000162592	1	3668962	3688209	75	18	384258	-0.85694	0.80426	CCDC27
ENSG00000235169	1	3689352	3692546	12	5	380830	0.67706	0.24918	SMIM1
ENSG00000130764	1	3696784	3713068	85	16	384740	0.90018	0.18401	LRRC47
ENSG00000116198	1	3728645	3773778	317	19	385914	1.2811	0.10009	CEP104
ENSG00000169598	1	3773845	3801993	151	20	383908	-1.0533	0.8539	DFFB
ENSG00000198912	1	3805689	3816857	56	12	385891	0.75801	0.22422	C1orf174
ENSG00000196581	1	4714792	4852594	822	96	384067	0.59781	0.27498	AJAP1
ENSG00000131697	1	5922871	6052533	561	34	385599	1.367	0.085811	NPHP4
ENSG00000069424	1	6051526	6161253	355	58	383446	3.2746	0.00052898	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	385479	1.777	0.037782	AL035406.1
ENSG00000116254	1	6161853	6240183	298	35	383908	0.12018	0.45217	CHD5
ENSG00000116251	1	6241329	6269449	69	14	383187	-1.7475	0.95973	RPL22
ENSG00000158286	1	6265535	6281359	49	8	385443	-2.3471	0.99054	RNF207
ENSG00000116237	1	6281253	6296032	44	9	385574	-1.2697	0.89791	ICMT
ENSG00000173673	1	6304252	6305638	6	3	379704	-0.23187	0.59168	HES3
ENSG00000158292	1	6307406	6321035	37	3	383530	0.36324	0.35821	GPR153
ENSG00000097021	1	6324329	6454451	493	32	385242	-0.41627	0.66139	ACOT7
ENSG00000069812	1	6472478	6484730	36	7	385679	0.37233	0.35482	HES2
ENSG00000187017	1	6484848	6521430	111	13	384687	0.31964	0.37462	ESPN
ENSG00000215788	1	6521211	6526255	18	7	385249	0.94045	0.17349	TNFRSF25
ENSG00000171680	1	6526152	6580121	177	35	384824	1.6593	0.048532	PLEKHG5
ENSG00000162408	1	6581407	6614595	153	11	385833	0.1645	0.43467	NOL9
ENSG00000173662	1	6615241	6639817	97	21	385223	-0.36926	0.64403	TAS1R1
ENSG00000204859	1	6640061	6649340	21	12	385674	0.28636	0.3873	ZBTB48
ENSG00000162413	1	6650784	6674667	81	25	385512	-0.80704	0.79018	KLHL21
ENSG00000116273	1	6673745	6684093	28	8	385707	-0.82919	0.7965	PHF13
ENSG00000041988	1	6684926	6695646	43	11	385454	-1.6546	0.95099	THAP3
ENSG00000007923	1	6694228	6761984	207	34	385192	0.5216	0.30097	DNAJC11
ENSG00000171735	1	6845384	7829766	3042	225	383656	3.1515	0.00081219	CAMTA1
ENSG00000049245	1	7831329	7841492	40	11	385189	-0.34345	0.63437	VAMP3
ENSG00000049246	1	7844380	7905237	265	28	385228	0.18817	0.42537	PER3
ENSG00000049247	1	7903143	7913572	43	13	383281	0.41538	0.33893	UTS2
ENSG00000049249	1	7979907	8000926	55	10	385035	0.16191	0.43569	TNFRSF9
ENSG00000116288	1	8014351	8045565	98	21	384796	0.70912	0.23913	PARK7
ENSG00000116285	1	8064464	8086368	47	13	385476	0.89308	0.18591	ERRFI1
ENSG00000162426	1	8377886	8404227	96	18	383582	-0.068605	0.52735	SLC45A1
ENSG00000142599	1	8412457	8877702	1031	40	385042	2.9063	0.0018287	RERE
ENSG00000074800	1	8921061	8939308	38	10	385078	0.80497	0.21042	ENO1
ENSG00000131686	1	9005926	9035151	137	30	384440	1.4277	0.076686	CA6
ENSG00000197241	1	9063359	9086404	69	21	383769	0.24091	0.40481	SLC2A7
ENSG00000142583	1	9095166	9148537	200	31	383581	-0.0037105	0.50148	SLC2A5
ENSG00000180758	1	9160364	9189229	91	16	384056	-0.9035	0.81687	GPR157
ENSG00000049239	1	9294834	9331396	117	24	381488	1.0705	0.14219	H6PD
ENSG00000171621	1	9352939	9429591	400	64	383309	1.7054	0.044064	SPSB1
ENSG00000171612	1	9599541	9645237	73	13	385363	0.83709	0.20127	SLC25A33
ENSG00000188807	1	9648932	9674935	60	15	385117	1.0083	0.15666	TMEM201
ENSG00000171608	1	9711790	9789172	217	46	384488	0.44353	0.32869	PIK3CD
ENSG00000179840	1	9712668	9714644	7	3	385705	1.3222	0.09305	C1orf200
ENSG00000171603	1	9789084	9884584	218	36	385635	-1.187	0.88239	CLSTN1
ENSG00000178585	1	9908334	9970394	169	30	385523	1.3365	0.090698	CTNNBIP1
ENSG00000162441	1	9982173	10003465	56	14	386074	1.4504	0.073473	LZIC
ENSG00000173614	1	10003486	10045559	102	19	385603	0.77595	0.21889	NMNAT1
ENSG00000162444	1	10057264	10076078	52	9	385683	0.90247	0.1834	RBP7
ENSG00000130939	1	10092890	10241297	426	30	385700	0.37993	0.352	UBE4B
ENSG00000054523	1	10270863	10441661	621	23	385993	0.80002	0.21185	KIF1B
ENSG00000142657	1	10458649	10480201	57	12	385675	0.60379	0.27299	PGD
ENSG00000175279	1	10490159	10512210	61	10	385273	-0.27091	0.60677	APITD1
ENSG00000251503	1	10490159	10512210	61	10	385273	-0.27091	0.60677	APITD1-CORT
ENSG00000241563	1	10509776	10511959	4	2	382697	-0.02918	0.51164	CORT
ENSG00000160049	1	10516579	10532583	36	12	384381	0.030971	0.48765	DFFA
ENSG00000142655	1	10532345	10690815	442	34	384718	0.56542	0.2859	PEX14
ENSG00000130940	1	10696661	10856707	419	79	383990	0.17054	0.43229	CASZ1
ENSG00000175262	1	11006528	11042094	137	20	384623	-0.78631	0.78416	C1orf127
ENSG00000120948	1	11072414	11085796	29	6	385406	-1.6315	0.9486	TARDBP
ENSG00000009724	1	11086580	11107290	76	14	385600	-1.8857	0.97033	MASP2
ENSG00000116649	1	11114641	11120081	9	3	385928	-0.44416	0.67154	SRM
ENSG00000171824	1	11126675	11159938	95	6	385900	-1.034	0.84944	EXOSC10
ENSG00000198793	1	11166592	11322564	356	12	385913	-1.9286	0.97311	MTOR
ENSG00000171819	1	11249398	11256038	18	4	385557	-0.68955	0.75476	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	6	384059	-1.9644	0.97526	UBIAD1
ENSG00000204624	1	11539223	11597641	165	18	384644	1.7806	0.037488	PTCHD2
ENSG00000116661	1	11708424	11715842	10	5	380777	-0.40388	0.65685	FBXO2
ENSG00000132879	1	11714432	11723384	24	8	383954	0.25122	0.40082	FBXO44
ENSG00000116663	1	11724181	11734411	34	9	384189	-0.089224	0.53555	FBXO6
ENSG00000116670	1	11734537	11751707	58	12	381863	0.98813	0.16155	MAD2L2
ENSG00000162490	1	11751786	11785914	75	16	381754	2.0396	0.020694	DRAXIN
ENSG00000177674	1	11796141	11814859	54	8	383572	2.0751	0.018989	AGTRAP
ENSG00000215910	1	11821844	11849642	152	12	384581	1.1879	0.11744	C1orf167
ENSG00000177000	1	11845780	11866977	93	14	385768	0.60426	0.27284	MTHFR
ENSG00000011021	1	11866207	11903201	212	18	386085	0.051796	0.47935	CLCN6
ENSG00000175206	1	11905766	11908402	14	5	385050	0.47129	0.31872	NPPA
ENSG00000120937	1	11917521	11918988	4	2	386365	-0.27323	0.60766	NPPB
ENSG00000116685	1	11979648	11986485	23	7	385279	-0.46151	0.67779	KIAA2013
ENSG00000083444	1	11994262	12035595	137	17	384069	0.15059	0.44015	PLOD1
ENSG00000116688	1	12040238	12073571	88	11	384318	-1.691	0.95458	MFN2
ENSG00000116691	1	12079523	12092102	23	5	384958	-2.2917	0.98904	MIIP
ENSG00000120949	1	12123434	12204264	169	30	382742	-0.13387	0.55325	TNFRSF8
ENSG00000028137	1	12227060	12269285	111	14	384199	-0.61864	0.73192	TNFRSF1B
ENSG00000048707	1	12290124	12572099	674	32	385688	0.72621	0.23385	VPS13D
ENSG00000162496	1	12627939	12677737	171	33	383751	-0.92407	0.82227	DHRS3
ENSG00000204518	1	12704566	12727097	53	5	384644	-0.58359	0.72025	AADACL4
ENSG00000188984	1	12776118	12788726	52	9	385582	0.6932	0.24409	AADACL3
ENSG00000157330	1	12806163	12823847	69	10	385864	0.70188	0.24138	C1orf158
ENSG00000116726	1	12834984	12838049	7	2	386493	-1.2598	0.89614	PRAMEF12
ENSG00000179172	1	12907261	12908578	5	3	379609	-0.3235	0.62684	HNRNPCL1
ENSG00000120952	1	12916941	12921764	21	4	383600	-0.76232	0.77707	PRAMEF2
ENSG00000243073	1	12939045	12946025	1	1	386533	0.016294	0.4935	PRAMEF4
ENSG00000162494	1	13801445	13840543	143	32	383273	0.6426	0.26024	LRRC38
ENSG00000162493	1	13909960	13944452	118	27	383661	2.1567	0.015515	PDPN
ENSG00000116731	1	14026693	14151574	412	38	385548	-1.7281	0.95802	PRDM2
ENSG00000189337	1	14925200	15444539	2079	205	383756	1.125	0.13029	KAZN
ENSG00000171729	1	15479028	15546976	374	30	383763	1.8573	0.031631	TMEM51
ENSG00000204464	1	15490840	15497813	29	8	384835	0.044454	0.48227	C1orf195
ENSG00000142621	1	15573768	15726779	523	57	385171	1.1036	0.13488	FHAD1
ENSG00000142634	1	15736391	15756839	82	18	384047	1.6486	0.049614	EFHD2
ENSG00000162438	1	15764935	15775737	33	13	384301	-0.80707	0.79019	CTRC
ENSG00000142615	1	15783223	15798586	66	12	384394	-0.2184	0.58644	CELA2A
ENSG00000215704	1	15792404	15817895	93	18	385196	-0.53923	0.70514	CELA2B
ENSG00000132906	1	15817327	15853029	145	12	385859	-0.75756	0.77564	CASP9
ENSG00000116138	1	15853308	15918874	232	19	385493	-0.25635	0.60116	DNAJC16
ENSG00000116771	1	15898848	15911605	57	9	386040	-0.049073	0.51957	AGMAT
ENSG00000197312	1	15943995	15995539	135	11	385681	-0.30849	0.62114	DDI2
ENSG00000215695	1	15986364	15988217	5	3	386533	0.41696	0.33836	RSC1A1
ENSG00000116786	1	16010827	16061264	177	20	385208	0.1413	0.44382	PLEKHM2
ENSG00000162461	1	16062900	16067891	9	4	385914	-1.4694	0.92913	SLC25A34
ENSG00000162460	1	16068917	16074477	26	8	384940	-0.93491	0.82508	TMEM82
ENSG00000162458	1	16083102	16113089	111	20	384384	0.14467	0.44248	FBLIM1
ENSG00000065526	1	16174359	16266955	235	37	386071	0.76807	0.22122	SPEN
ENSG00000116809	1	16268364	16302627	80	23	385963	0.94225	0.17303	ZBTB17
ENSG00000183888	1	16330731	16335302	25	11	385982	0.42424	0.33569	C1orf64
ENSG00000173641	1	16340523	16346089	48	6	385542	0.53995	0.29461	HSPB7
ENSG00000186510	1	16345370	16360545	99	17	385575	0.33638	0.36829	CLCNKA
ENSG00000184908	1	16370272	16383803	120	17	384303	1.2762	0.10093	CLCNKB
ENSG00000185519	1	16384264	16400127	63	10	384640	1.2612	0.10362	FAM131C
ENSG00000142627	1	16450832	16482582	74	20	383475	1.409	0.079411	EPHA2
ENSG00000142632	1	16524349	16539104	62	9	385631	-0.81998	0.79389	ARHGEF19
ENSG00000204377	1	16555368	16556038	4	2	384846	0.029387	0.48828	C1orf134
ENSG00000132881	1	16558195	16563657	20	9	384944	0.77459	0.21929	RSG1
ENSG00000037637	1	16573334	16678949	254	14	385767	1.2279	0.10974	FBXO42
ENSG00000055070	1	16679070	16724640	120	18	385540	0.26492	0.39554	SZRD1
ENSG00000187144	1	16713612	16763919	158	29	383853	1.2257	0.11015	SPATA21
ENSG00000157191	1	16767167	16786573	47	12	385556	1.0831	0.13938	NECAP2
ENSG00000058453	1	17066768	17299474	161	18	384063	-1.001	0.8416	CROCC
ENSG00000117122	1	17300997	17307330	19	7	385099	1.6533	0.049136	MFAP2
ENSG00000159363	1	17312453	17338423	64	16	385636	0.8399	0.20048	ATP13A2
ENSG00000117118	1	17345217	17380665	131	14	385289	0.64143	0.26062	SDHB
ENSG00000117115	1	17393256	17445948	276	19	385275	0.24211	0.40435	PADI2
ENSG00000142623	1	17531621	17572500	147	38	383601	-0.8793	0.81038	PADI1
ENSG00000142619	1	17575593	17610728	198	33	384596	0.5372	0.29557	PADI3
ENSG00000159339	1	17634690	17690499	288	24	385002	0.79251	0.21403	PADI4
ENSG00000269468	1	17655507	17676070	149	14	385808	0.8703	0.19207	AC004824.2
ENSG00000179051	1	17733256	17766220	103	21	385257	-1.2019	0.88529	RCC2
ENSG00000074964	1	17866330	18024369	390	47	383816	2.4396	0.007352	ARHGEF10L
ENSG00000117148	1	18081808	18153558	175	22	384417	0.99524	0.15981	ACTL8
ENSG00000117154	1	18434240	18704977	987	131	383937	0.25494	0.39939	IGSF21
ENSG00000179023	1	18807424	18812478	29	7	385224	-0.56114	0.71265	KLHDC7A
ENSG00000009709	1	18957500	19075360	371	62	383640	2.26	0.01191	PAX7
ENSG00000179002	1	19166093	19186176	112	21	385020	0.88997	0.18674	TAS1R2
ENSG00000255275	1	19175767	19247615	391	44	384236	0.13445	0.44652	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	179	30	384129	-0.039912	0.51592	ALDH4A1
ENSG00000169991	1	19230775	19283180	222	41	384489	0.98834	0.16149	IFFO2
ENSG00000127481	1	19401000	19536770	386	34	385852	1.2688	0.10225	UBR4
ENSG00000127463	1	19542158	19578046	132	19	384794	0.67886	0.24861	EMC1
ENSG00000053372	1	19578033	19586622	56	10	385820	1.6766	0.046812	MRTO4
ENSG00000162482	1	19609052	19615744	29	6	385752	-0.79703	0.78728	AKR7A3
ENSG00000053371	1	19630459	19638640	25	11	384670	-0.41745	0.66183	AKR7A2
ENSG00000040487	1	19638820	19655794	94	15	383367	-1.4383	0.92483	PQLC2
ENSG00000077549	1	19665267	19812066	690	37	384445	-1.0254	0.84742	CAPZB
ENSG00000270136	1	19923473	19984549	254	30	384872	0.67324	0.2504	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	132	15	385706	0.7827	0.2169	MINOS1
ENSG00000158747	1	19967048	19984945	70	23	383203	0.16931	0.43277	NBL1
ENSG00000158748	1	19991780	20006055	49	11	385701	1.3079	0.095455	HTR6
ENSG00000162542	1	20008706	20126438	403	54	383474	0.43561	0.33156	TMCO4
ENSG00000178828	1	20140523	20141771	6	4	385790	-0.14128	0.55618	RNF186
ENSG00000169914	1	20209006	20239438	83	17	384777	-2.1063	0.98241	OTUD3
ENSG00000188784	1	20246502	20250110	23	8	384835	-1.8315	0.96648	PLA2G2E
ENSG00000188257	1	20301925	20306932	17	8	384067	0.92329	0.17793	PLA2G2A
ENSG00000127472	1	20354672	20417683	249	34	385627	-1.2581	0.89583	PLA2G5
ENSG00000117215	1	20438432	20446050	20	9	382561	1.6069	0.054038	PLA2G2D
ENSG00000158786	1	20465819	20476879	12	6	383455	-1.6421	0.94971	PLA2G2F
ENSG00000187980	1	20487746	20503917	62	14	384952	-0.46587	0.67935	PLA2G2C
ENSG00000162543	1	20512578	20522541	12	5	381157	0.71422	0.23755	UBXN10
ENSG00000158816	1	20617412	20681387	294	34	384666	-0.65462	0.74365	VWA5B1
ENSG00000162545	1	20808884	20812713	7	5	385573	-0.46405	0.67869	CAMK2N1
ENSG00000090432	1	20825943	20834654	36	13	384093	-0.26736	0.60541	MUL1
ENSG00000183114	1	20878932	20881512	4	1	385724	-2.1907	0.98576	FAM43B
ENSG00000158825	1	20915441	20945401	134	23	385317	1.3397	0.090165	CDA
ENSG00000158828	1	20959948	20978004	89	15	385571	1.1207	0.13121	PINK1
ENSG00000244038	1	20978270	20988000	42	12	385943	0.72696	0.23362	DDOST
ENSG00000117245	1	20990507	21044510	235	55	383843	0.42161	0.33666	KIF17
ENSG00000189410	1	21046225	21059330	41	11	384159	0.088286	0.46482	SH2D5
ENSG00000127483	1	21069154	21113816	105	19	384234	-0.30245	0.61885	HP1BP3
ENSG00000075151	1	21132963	21503377	855	38	385342	0.41656	0.3385	EIF4G3
ENSG00000117298	1	21543740	21671997	456	61	383781	1.3538	0.087895	ECE1
ENSG00000142794	1	21766621	21811498	190	24	386123	0.93711	0.17435	NBPF3
ENSG00000162551	1	21835858	21904905	347	38	384868	-1.6146	0.9468	ALPL
ENSG00000076864	1	21922708	21995801	308	47	384145	-0.16202	0.56435	RAP1GAP
ENSG00000090686	1	22004791	22110099	428	43	385480	0.93785	0.17416	USP48
ENSG00000187942	1	22138758	22151714	43	19	384251	1.6638	0.04808	LDLRAD2
ENSG00000142798	1	22148738	22263790	451	51	384698	0.61481	0.26934	HSPG2
ENSG00000219073	1	22303514	22325135	106	17	385705	0.94607	0.17206	CELA3B
ENSG00000142789	1	22328149	22339032	34	9	384950	1.9937	0.023091	CELA3A
ENSG00000070831	1	22379120	22419437	134	25	385817	1.1695	0.1211	CDC42
ENSG00000162552	1	22443798	22470462	113	25	385391	2.0422	0.020566	WNT4
ENSG00000184677	1	22778344	22857650	199	29	385399	-0.69575	0.75671	ZBTB40
ENSG00000070886	1	22890057	22930087	168	30	383387	1.7317	0.041665	EPHA8
ENSG00000173372	1	22962999	22966101	9	5	385949	0.60206	0.27357	C1QA
ENSG00000159189	1	22970123	22974603	23	5	384259	1.9594	0.025035	C1QC
ENSG00000173369	1	22979255	22988031	37	10	385101	3.2075	0.00066956	C1QB
ENSG00000133216	1	23037332	23241818	525	64	383684	-0.96139	0.83182	EPHB2
ENSG00000215906	1	23279536	23291831	45	14	383312	-0.89354	0.81422	LACTBL1
ENSG00000227868	1	23337327	23342343	13	5	384939	0.23317	0.40781	C1orf234
ENSG00000004487	1	23345941	23410182	100	17	385278	0.47064	0.31895	KDM1A
ENSG00000169641	1	23410516	23504301	203	29	385718	-0.29865	0.6174	LUZP1
ENSG00000179546	1	23516993	23521222	11	3	385716	0.68234	0.24751	HTR1D
ENSG00000125944	1	23630264	23670829	90	17	384937	0.32859	0.37123	HNRNPR
ENSG00000125945	1	23685941	23695935	36	9	384854	0.077006	0.46931	ZNF436
ENSG00000249087	1	23695490	23698332	4	2	386120	0.038943	0.48447	C1orf213
ENSG00000204219	1	23707554	23751233	150	27	385352	1.0085	0.15662	TCEA3
ENSG00000088280	1	23755056	23811061	161	25	385952	-0.08719	0.53474	ASAP3
ENSG00000007968	1	23832922	23857712	76	16	385770	-1.8986	0.97119	E2F2
ENSG00000117318	1	23884409	23886285	7	4	380902	-0.34651	0.63552	ID3
ENSG00000197880	1	23907985	23967058	107	26	384740	0.74486	0.22818	MDS2
ENSG00000142676	1	24018269	24022915	15	5	386232	-1.1834	0.88167	RPL11
ENSG00000011007	1	24069645	24088549	43	9	385549	-0.43865	0.66954	TCEB3
ENSG00000057757	1	24104895	24114722	13	7	385079	-0.013126	0.50524	PITHD1
ENSG00000011009	1	24117460	24122029	5	3	386410	0.16678	0.43377	LYPLA2
ENSG00000117308	1	24122089	24127271	3	2	381359	-0.59683	0.72469	GALE
ENSG00000117305	1	24128375	24165110	60	9	385186	0.53525	0.29624	HMGCL
ENSG00000179163	1	24171567	24194784	45	9	385599	-0.69047	0.75505	FUCA1
ENSG00000188822	1	24197016	24285549	221	18	385188	0.20938	0.41707	CNR2
ENSG00000189266	1	24285599	24289952	2	1	386233	-0.97847	0.83608	PNRC2
ENSG00000188529	1	24291294	24307417	3	2	386529	-1.2102	0.8869	SRSF10
ENSG00000142661	1	24382525	24438665	247	36	384526	-1.1869	0.88237	MYOM3
ENSG00000142677	1	24446261	24469611	85	21	384575	-0.17256	0.5685	IL22RA1
ENSG00000185436	1	24480647	24514449	138	22	383325	0.034526	0.48623	IFNLR1
ENSG00000158055	1	24645812	24690972	126	29	384566	0.063674	0.47461	GRHL3
ENSG00000001460	1	24683489	24743424	218	30	385367	0.86717	0.19293	STPG1
ENSG00000001461	1	24742284	24799466	228	30	383559	-0.081512	0.53248	NIPAL3
ENSG00000117602	1	24829387	24867530	155	23	385519	0.6799	0.24828	RCAN3
ENSG00000184454	1	24882602	24935819	253	30	383909	0.60524	0.27251	NCMAP
ENSG00000133226	1	24958207	24999758	53	12	383401	0.75794	0.22424	SRRM1
ENSG00000169504	1	25071848	25170815	161	28	385226	-1.0005	0.84148	CLIC4
ENSG00000020633	1	25226002	25291612	155	35	383628	0.0081455	0.49675	RUNX3
ENSG00000117614	1	25549170	25558993	27	7	385895	-0.11934	0.5475	SYF2
ENSG00000117616	1	25568728	25664704	88	14	385664	0.6019	0.27362	C1orf63
ENSG00000187010	1	25598884	25656936	21	6	386178	0.26273	0.39638	RHD
ENSG00000183726	1	25664408	25688852	55	10	385474	0.49488	0.31034	TMEM50A
ENSG00000188672	1	25688740	25756683	145	16	385293	0.4171	0.3383	RHCE
ENSG00000204178	1	25757388	25826700	115	6	385100	0.81961	0.20622	TMEM57
ENSG00000157978	1	25870071	25895377	80	13	385298	0.50856	0.30553	LDLRAP1
ENSG00000117643	1	25943959	26112698	322	29	384762	0.75941	0.2238	MAN1C1
ENSG00000162430	1	26126667	26144713	56	9	383587	0.35655	0.36071	SEPN1
ENSG00000255054	1	26137961	26150235	44	7	385536	0.76678	0.22161	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	39	5	385806	0.86929	0.19234	MTFR1L
ENSG00000223474	1	26145212	26147288	9	4	385784	0.93929	0.17379	AL020996.1
ENSG00000127423	1	26158414	26185903	80	6	385953	0.72326	0.23476	AUNIP
ENSG00000182749	1	26187701	26197744	22	5	385913	-0.18377	0.5729	PAQR7
ENSG00000117632	1	26210672	26233482	39	10	384906	-0.32266	0.62653	STMN1
ENSG00000158006	1	26286258	26324648	114	14	384985	-0.075523	0.5301	PAFAH2
ENSG00000158008	1	26346375	26362955	56	19	385683	0.084845	0.46619	EXTL1
ENSG00000158014	1	26363743	26372624	29	9	385614	0.47999	0.31562	SLC30A2
ENSG00000158022	1	26377795	26394927	65	14	384883	0.24211	0.40435	TRIM63
